SubjectID,Session,Helicopters,Language,Label,Accuracy,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,SCR_Amplitude,SCR_RiseTime,SCR_RecoveryTime,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
7,3,two,greek,p2,6,3,0.008434223,0.008434223,2.2,2.6,65.12227385,921.34375,31.90181164,16.24359315,27.2432294,0.483870968,0.064516129,27,19.26338609,40.26212242,2436.571538,0.478449345,0.203603787
7,4,two,english,p1,2,6,0.008037661,0.008037661,0.866666667,0.611111111,62.64916468,957.7142857,59.41972805,35.50683325,56.33041261,0.730769231,0.384615385,40.5,39.67681011,74.24878717,9254.990678,0.534376542,0.111915243
7,4,two,english,p2,8,3,0.010831332,0.010831332,1.466666667,3.733333333,61.58124752,974.3225806,43.32501855,25.35338819,40.50287346,0.655172414,0.172413793,16,28.59731077,49.11900422,4412.90544,0.582204611,0.233333333
8,1,one,greek,p1,-2,5,0.007497988,0.007497988,0.653333333,0.44,83.45648961,718.9375,70.25175154,22.20200428,41.77319715,0.653846154,0.269230769,32.5,29.0431224,59.63066802,5440.801134,0.487050093,0.347931979
8,1,one,greek,p2,-2,3,0.001907555,0.001907555,0.4,0.422222222,79.94154812,750.5483871,73.07920525,32.37229611,56.54938844,0.7,0.433333333,47,39.96059865,96.07696278,12061.49452,0.415922792,0.129010063
8,2,one,english,p1,-2,2,0.044858681,0.044858681,1.933333333,6.466666667,74.92390541,800.8125,23.0616531,16.88955369,30.97709872,0.580645161,0.064516129,12,21.90210934,23.59619539,1623.595351,0.928205118,0.117128021
8,2,one,english,p2,-1,1,0.138627891,0.138627891,1.866666667,6.066666667,72.58714939,826.5925926,35.1949694,22.27756586,40.07109067,0.692307692,0.153846154,12,28.25501998,38.28347242,3398.261646,0.73804747,0.179299834
8,3,two,greek,p1,-2,7,0.008690837,0.008690837,1.066666667,0.706666667,67.33466934,891.0714286,70.92094622,18.91313293,32.18501204,0.5,0.166666667,24,22.71607284,34.79332581,2483.013434,0.652885929,0.160391355
8,3,two,greek,p2,6,4,0.004382206,0.004382206,0.866666667,1,67.01488125,895.3235294,40.83015076,21.58856447,37.40442366,0.606060606,0.303030303,28,26.42168809,50.98568372,4232.126902,0.518217785,0.166666667
8,4,two,english,p1,1,7,0.001708344,0.001708344,0.533333333,0.588888889,69.71340046,860.6666667,64.77503806,48.65518986,81.47361536,0.8,0.45,30,57.60966716,59.82469181,10827.43808,0.962974742,0.242177662
8,4,two,english,p2,6,3,0.000263936,0.000263936,0.2,0.111111111,66.26986562,905.3888889,34.04757927,20.46333966,39.9606424,0.676470588,0.235294118,26.5,28.13659988,35.31808622,3121.897571,0.796662642,0.233333333
9,1,one,greek,p1,0,4,0.014196931,0.014196931,0.933333333,0.883333333,66.99466136,895.59375,50.00803646,24.30237888,46.22630169,0.741935484,0.322580645,34,32.65328855,60.91108479,6248.461997,0.536081218,0.139630677
9,1,one,greek,p2,2,5,0.013298591,0.013298591,1.146666667,1.44,65.05782918,922.2564103,47.37288955,28.57322808,46.12625694,0.631578947,0.210526316,38,32.61599798,59.50623236,6097.376295,0.548110621,0.133333333
9,2,one,english,p1,1,4,0.009947608,0.009947608,0.5,0.95,85.5013154,701.7435897,38.97449393,27.46363556,45.06511805,0.648648649,0.189189189,25,31.86307677,44.47682237,4452.165852,0.716397329,0.292493876
9,2,one,english,p2,2,5,0.022877041,0.022877041,0.786666667,0.383333333,83.23003365,720.893617,47.62541519,28.81396066,46.74189072,0.717391304,0.260869565,41,32.97832894,57.59976346,5967.593306,0.572542784,0.166666667
9,3,two,greek,p1,0,4,0.001562862,0.001562862,0.55,1.283333333,74.5273873,805.0731707,31.87428832,28.16202008,47.07733,0.675,0.3,25,33.28576554,30.10061773,3147.631122,1.105816693,0.2
9,3,two,greek,p2,2,7,0.001573368,0.001573368,0.419047619,0.847619048,65.97938144,909.375,36.83953096,21.38759247,37.91294376,0.695652174,0.130434783,27.5,26.78564353,45.35701687,3816.773962,0.590551262,0.137520055
9,4,two,english,p1,1,1,0.002894765,0.002894765,0.6,0.8,64.8,925.9259259,62.26997727,27.61731298,45.98578376,0.615384615,0.269230769,40,32.49865723,83.36327076,8511.185105,0.389843836,0.120052823
9,4,two,english,p2,7,8,0.014272481,0.014272481,0.816666667,0.514285714,63.99126941,937.627907,25.70858445,20.14972302,34.34211631,0.619047619,0.166666667,19,24.2751144,27.31630048,2083.209941,0.888667717,0.2
10,1,one,greek,p1,2,7,0.078217652,0.078217652,0.542857143,0.522222222,87.89754737,682.6129032,58.88188145,23.92535259,39.27632403,0.555555556,0.259259259,42,27.7537674,60.55182908,5279.576454,0.4583473,0.331047529
10,1,one,greek,p2,5,4,0.043106066,0.043106066,1.083333333,1.4,88.2950231,679.54,32.80195726,22.08751666,42.02720208,0.734693878,0.244897959,24.5,29.71749534,36.17085423,3376.920538,0.821586771,0.1
10,2,one,english,p1,2,5,0.123432377,0.123432377,1.613333333,2.383333333,71.79812058,835.6764706,68.96747767,39.14224771,74.28279298,0.866666667,0.5,47,52.39030869,74.37045411,12240.55933,0.704450569,0.176062537
10,2,one,english,p2,1,5,0.032883468,0.032883468,0.68,0.666666667,71.46685724,839.55,55.1484134,18.65749289,48.18713521,0.857142857,0.285714286,41,33.02580933,68.61062868,7118.602465,0.481351213,0.119175307
10,3,two,greek,p1,5,7,0.002612393,0.002612393,0.904761905,1.447619048,67.3043966,891.4722222,54.71770286,23.76909176,33.79914722,0.441176471,0.205882353,24,23.86134435,52.05497244,3902.177333,0.458387417,0.266666667
10,3,two,greek,p2,12,3,0.000719808,0.000719808,0.266666667,0.155555556,62.57659114,958.825,24.89165272,15.31797533,26.51366363,0.512820513,0.051282051,12.5,18.74795628,30.31508869,1785.511484,0.618436465,0.3
10,4,two,english,p1,8,4,0.094384894,0.094384894,1.816666667,3.022222222,67.76853281,885.3666667,102.5642834,41.86672187,83.08020221,0.92,0.72,54.5,58.66110125,88.35813488,16283.45748,0.663901534,0.112990095
10,4,two,english,p2,12,6,0.065510706,0.065510706,1.555555556,1.133333333,64.89675516,924.5454545,67.40968859,21.80022936,66.19289992,1,0.75,61,42.73464637,49.30136915,6618.947973,0.866804454,0.295101318
11,1,one,greek,p1,-6,3,0.006618951,0.006618951,0.666666667,0.333333333,80.33921,746.8333333,44.86615899,26.35375991,46.61837328,0.727272727,0.363636364,29,32.74526021,47.33199955,4869.150186,0.691820766,0.334896182
11,1,one,greek,p2,-2,7,0.018754837,0.018754837,0.561904762,0.922222222,82.47669137,727.4782609,64.58218193,28.75495862,66.819474,0.894736842,0.631578947,38,46.69361443,82.45153029,12095.00594,0.566315922,0.179404377
11,2,one,english,p1,-2,4,0.023888755,0.023888755,1.116666667,2.133333333,86.58008658,693,182.0439507,0,66,1,1,176.5,0,0,0,,0.240644928
11,2,one,english,p2,2,4,0.014991341,0.014991341,1.016666667,0.683333333,81.30081301,738,142.3112785,17.5,26.95366394,0.5,0,82.5,12.37436867,14.49568901,563.5231822,0.853658537,0.16943409
11,3,two,greek,p1,1,1,0.011583587,0.011583587,1.666666667,2.6,64.24474187,933.9285714,52.7168505,31.08323266,45.63137322,0.592592593,0.259259259,27,32.26587082,68.46973238,6940.518143,0.471242835,0.114766641
11,3,two,greek,p2,6,3,0.012365815,0.012365815,0.844444444,0.822222222,62.91575188,953.65625,72.04191895,28.75744486,44.6047155,0.64516129,0.225806452,48,31.53131341,98.23915371,9731.427389,0.320964831,0.166666667
11,4,two,english,p1,-2,5,0.000526894,0.000526894,0.36,0.56,60.863358,985.8148148,33.05891154,21.13565652,31.80711096,0.538461538,0.076923077,14,22.49076076,41.75786076,2950.477182,0.538599448,0.225521519
11,4,two,english,p2,5,7,0.000499634,0.000499634,0.266666667,0.171428571,69.50701506,863.2222222,45.66916727,18.7480829,34.72463103,0.657142857,0.142857143,30.5,24.45867819,59.35855766,4561.064304,0.412049739,0.1
12,1,one,greek,p1,0,4,0.006079703,0.006079703,0.466666667,0.483333333,72.04074028,832.862069,57.19580654,24.22839428,45.78735067,0.777777778,0.296296296,27,31.68030895,71.56493881,7122.61689,0.442679187,0.124254473
12,1,one,greek,p2,2,2,0.007919012,0.007919012,1.9,1.566666667,67.70619614,886.1818182,30.19879041,16.95398183,26.60239651,0.40625,0.03125,21,18.77560751,38.25612696,2256.549532,0.490786941,0.273691413
12,2,one,english,p1,0,4,0.052355876,0.052355876,1.6,2.533333333,88.43319449,678.4782609,68.81788795,39.16426943,66.22235272,0.666666667,0.533333333,39,46.71316731,75.55963061,11088.65863,0.618229165,0.192344682
12,2,one,english,p2,1,6,0.069045589,0.069045589,1.455555556,1.36,85.18405841,704.3571429,77.45699926,27.41463709,50.7740091,0.684210526,0.421052632,68.5,35.85817709,92.30137018,10397.91417,0.388490193,0.202911784
12,3,two,greek,p1,1,5,0.002739887,0.002739887,0.786666667,0.666666667,69.85975126,858.8636364,77.50383888,38.39288789,62.62070697,0.882352941,0.352941176,29.5,44.09532769,50.17612578,6950.876503,0.878810928,0.317662008
12,3,two,greek,p2,4,5,0.001438387,0.001438387,0.64,1.373333333,88.38891121,678.8181818,264.2625479,--,,,,51,,,,,0.267881061
12,4,two,english,p1,2,3,0.001246807,0.001246807,0.755555556,0.711111111,65.1444364,921.030303,27.46511269,21.80802246,30.75609696,0.40625,0.125,5,21.69587374,29.66308206,2021.823736,0.731409963,0.233333333
12,4,two,english,p2,8,8,0.001807844,0.001807844,0.391666667,0.816666667,70.65435568,849.2045455,44.00907941,20.2495251,32.29875079,0.558139535,0.139534884,33,22.82265202,57.42225915,4117.145887,0.39745305,0.1
